player_id,country_id,name,sex,hand,year_of_birth
105453,JPN,Kei Nishikori,M,R,1989
106421,RUS,Daniil Medvedev,M,R,1989
104542,FRA,Jo-Wilfried Tsonga,M,R,1996
104871,FRA,Jeremy Chardy,M,R,1989
200282,AUS,Alex De Minaur,M,R,1985
105683,CAN,Milos Raonic,M,R,1996
106034,JPN,Yasutaka Uchiyama,M,R,1987
105777,BUL,Grigor Dimitrov,M,R,1989
106121,JPN,Taro Daniel,M,R,1985
111442,AUS,Jordan Thompson,M,R,1999
104918,GBR,Andy Murray,M,R,1996
200175,SRB,Miomir Kecmanovic,M,R,1990
106401,AUS,Nick Kyrgios,M,R,1987
106378,GBR,Kyle Edmund,M,R,1992
105357,AUS,John Millman,M,R,1991
106045,USA,Denis Kudla,M,R,1989
106423,AUS,Thanasi Kokkinakis,M,R,1985
106109,AUS,Alex Bolt,M,L,1994
200615,AUS,Alexei Popyrin,M,R,1999
105902,AUS,James Duckworth,M,R,1987
104919,ARG,Leonardo Mayer,M,R,1999
105379,SLO,Aljaz Bedene,M,R,1990
105992,USA,Ryan Harrison,M,R,1995
105526,GER,Jan Lennard Struff,M,R,1987
200005,FRA,Ugo Humbert,M,L,1992
106415,JPN,Yoshihito Nishioka,M,L,1991
105815,USA,Tennys Sandgren,M,R,1989
126203,USA,Taylor Fritz,,R,1992
215018,AUS,Destanee Aiava,F,R,2000
201540,FRA,Kristina Mladenovic,F,R,2000
211279,GBR,Harriet Dart,F,R,1996
211880,AUS,Priscilla Hon,F,R,1996
201545,LVA,Anastasija Sevastova,F,R,1990
201611,AUS,Daria Gavrilova,F,R,1990
201520,CZE,Petra Kvitova,F,L,1990
203389,USA,Danielle Rose Collins,F,R,1990
204426,EST,Anett Kontaveit,F,R,1995
201521,ESP,Carla Suarez Navarro,F,R,1995
201615,UKR,Lesia Tsurenko,F,R,1989
202596,ROU,Mihaela Buzarnescu,F,L,1989
214040,AUS,Kimberly Birrell,F,U,1998
214082,RUS,Darya Kasatkina,F,R,1998
201662,CZE,Karolina Pliskova,F,R,1992
201709,KAZ,Yulia Putintseva,F,R,1992
213631,CZE,Marie Bouzkova,F,R,1998
201325,AUS,Samantha Stosur,F,R,1998
201548,AUS,Ajla Tomljanovic,F,R,1993
211701,CZE,Katerina Siniakova,F,R,1993
202427,GBR,Johanna Konta,F,R,1991
201585,USA,Sloane Stephens,F,R,1991
447527,NLD,Kiki Bertens,F,R,1991
210722,BEL,Elise Mertens,F,R,1991
202499,CRO,Donna Vekic,F,R,1996
201517,SVK,Magdalena Rybarikova,F,R,1996
205925,BLR,Aliaksandra Sasnovich,F,R,1994
215713,RUS,Anastasia Potapova,F,R,1994
211768,JPN,Naomi Osaka,F,R,1997
202494,UKR,Elina Svitolina,F,R,1994
106216,USA,Bjorn Fratangelo,M,R,1992
117360,AUS,Marc Polmans,M,R,1997
124187,USA,Reilly Opelka,M,R,1997
105166,CAN,Peter Polansky,M,R,1996
106426,CHI,Cristian Garin,,R,1996
106331,AUS,Christopher O'Connell,M,R,1996
105974,AUS,Maverick Banes,M,R,1999
105441,AUS,John Patrick Smith,M,L,1993
134329,AUS,Blake Ellis,M,U,1998
111153,USA,Christopher Eubanks,M,R,1996
105614,USA,Bradley Klahn,M,L,1996
216146,UKR,Marta Kostyuk,F,R,2002
201586,GBR,Heather Watson,F,R,2002
202424,SUI,Conny Perrin,F,R,1998
203530,SUI,Viktorija Golubic,F,R,1992
206362,AUS,Naiktha Bains,F,R,1992
211684,POL,Magdalena Frech,F,R,1997
211095,USA,Bernarda Pera,F,L,1997
203462,UKR,Kateryna Kozlova,F,R,1994
213530,USA,Allie Kiick,F,R,1994
214452,USA,Caroline Dolehide,F,R,1996
201556,CZE,Lucie Hradecka,F,R,1985
215337,SRB,Olga Danilovic,F,L,1985
201492,GER,Andrea Petkovic,F,R,1987
214863,RUS,Sofya Zhuk,F,R,1987
202484,USA,Nicole Gibbs,F,R,2001
211941,AUS,Zoe Hives,F,U,1996
201518,BEL,Yanina Wickmayer,F,R,1996
214096,CZE,Karolina Muchova,F,R,1996
211878,AUS,Lizette Cabrera,F,R,1996
215035,UKR,Dayana Yastremska,F,R,2000
201478,USA,Varvara Lepchenko,F,L,2000
201605,LUX,Mandy Minella,F,R,1985
201597,JPN,Kurumi Nara,F,R,1985
201447,USA,Vania King,F,R,2000
202600,BUL,Viktoriya Tomova,F,R,1995
206108,USA,Jennifer Brady,F,R,1995
201539,USA,Christina Mchale,F,R,1992
447533,SRB,Aleksandra Krunic,F,R,1992
105138,ESP,Roberto Bautista Agut,M,R,1988
104607,CZE,Tomas Berdych,M,R,1988
104925,SRB,Novak Djokovic,M,R,1988
106065,ITA,Marco Cecchinato,M,R,1985
105932,GEO,Nikoloz Basilashvili,M,R,1987
104527,SUI,Stan Wawrinka,,R,1988
105583,SRB,Dusan Lajovic,M,R,1992
105732,FRA,Pierre Hugues Herbert,M,R,1985
105916,HUN,Marton Fucsovics,M,R,1987
126094,RUS,Andrey Rublev,M,R,1992
111797,CHI,Nicolas Jarry,M,R,1985
104198,ESP,Guillermo Garcia Lopez,M,R,1988
105575,LTU,Ricardas Berankis,M,R,1990
105550,ARG,Guido Pella,M,L,1992
104269,ESP,Fernando Verdasco,M,L,1985
109739,GER,Maximilian Marterer,M,L,1991
106000,BIH,Damir Dzumhur,M,R,1987
105657,ROU,Marius Copil,M,R,1992
104312,ITA,Andreas Seppi,M,R,1997
105077,ESP,Albert Ramos,M,L,1992
111575,RUS,Karen Khachanov,M,R,1985
104898,NLD,Robin Haase,M,R,1995
122570,QAT,Mubarak Shannan Zayid,M,U,1983
126610,ITA,Matteo Berrettini,M,R,1988
105676,BEL,David Goffin,M,R,1990
105173,FRA,Adrian Mannarino,M,L,1990
117356,TUR,Cem Ilkel,M,R,1990
104660,UKR,Sergiy Stakhovsky,M,R,1992
103893,ITA,Paolo Lorenzi,M,R,1983
104259,GER,Philipp Kohlschreiber,M,R,1985
105376,GER,Peter Gojowczyk,M,R,1995
106233,AUT,Dominic Thiem,M,R,1991
110602,AUT,Dennis Novak,M,R,1990
106325,QAT,Jabor Al Mutawa,M,U,1981
104571,CYP,Marcos Baghdatis,M,R,1985
104586,CZE,Lukas Rosol,M,R,1985
104868,GBR,James Ward,M,R,1983
126237,ITA,Gian Marco Moroni,M,R,1986
105806,BIH,Mirza Basic,M,R,1991
104897,GER,Matthias Bachinger,M,R,1991
105477,ARG,Marco Trungelliti,M,R,1990
110476,QAT,Mousa Shanan Zayed,M,U,1990
105063,ITA,Andrea Arnaboldi,M,L,1995
104731,RSA,Kevin Anderson,M,R,1986
103333,CRO,Ivo Karlovic,M,R,1986
104468,FRA,Gilles Simon,M,R,1986
104327,BEL,Steve Darcis,M,R,1979
144719,ESP,Jaume Munar,M,R,1986
105332,FRA,Benoit Paire,M,R,1984
104291,TUN,Malek Jaziri,M,R,1984
105208,LVA,Ernests Gulbis,M,R,1979
111513,SRB,Laslo Djere,M,R,1986
104620,ITA,Simone Bolelli,M,R,1997
125802,BLR,Ilya Ivashka,M,R,1984
106210,CZE,Jiri Vesely,M,L,1989
111581,USA,Michael Mmoh,M,R,1984
106368,IND,Ramkumar Ramanathan,M,R,1984
105539,RUS,Evgeny Donskoy,M,R,1979
111202,KOR,Hyeon Chung,M,R,1988
111459,IND,Arjun Kadhe,M,R,1995
104797,UZB,Denis Istomin,M,R,1985
105430,MDA,Radu Albot,M,R,1997
128034,POL,Hubert Hurkacz,M,R,1994
126156,FRA,Antoine Hoang,,R,1993
106329,BRA,Thiago Monteiro,M,L,1989
106148,ESP,Roberto Carballes Baena,M,R,1984
105432,IND,Prajnesh Gunneswaran,M,L,1998
104719,ESP,Marcel Granollers,M,R,1994
104665,ESP,Pablo Andujar,M,R,1990
200000,CAN,Felix Auger Aliassime,M,R,1979
105155,POR,Pedro Sousa,M,R,1988
106078,BLR,Egor Gerasimov,M,R,1992
104593,ESP,Daniel Gimeno Traver,M,R,1992
105031,IND,Saketh Myneni,M,R,1987
105359,TPE,Jason Jung,M,R,1987
105413,SVK,Andrej Martin,M,R,1995
104978,GER,Daniel Brands,M,R,1994
111790,CAN,Brayden Schnur,M,R,1985
124116,AUT,Sebastian Ofner,M,R,1996
105074,BEL,Ruben Bemelmans,M,L,1996
106420,ITA,Gianluigi Quinzi,M,L,1996
124154,IND,Sasi Kumar Mukund,M,R,1996
105656,ESA,Marcelo Arevalo,M,R,2000
111815,GBR,Cameron Norrie,M,L,1991
105807,ESP,Pablo Carreno Busta,M,R,1990
104926,ITA,Fabio Fognini,M,R,1983
104545,USA,John Isner,M,R,1997
105311,POR,Joao Sousa,M,R,1995
103970,ESP,David Ferrer,M,R,1991
104907,NZL,Jose Rubin Statham,M,R,1990
133430,CAN,Denis Shapovalov,M,L,1989
105449,USA,Steve Johnson,M,R,1987
111456,USA,Mackenzie McDonald,M,R,1996
104655,URU,Pablo Cuevas,M,R,1998
104547,ARG,Horacio Zeballos,M,L,1995
105047,GER,Tim Puetz,M,R,1995
103565,FRA,Stephane Robert,M,R,1986
104667,AUT,Philipp Oswald,M,R,1990
105341,ITA,Thomas Fabbiano,M,R,1989
110686,NZL,Finn Tearney,M,R,1989
109054,GER,Daniel Masur,M,R,1995
105406,ITA,Roberto Marcora,M,R,1989
208055,NZL,Ajeet Rai,M,R,1989
105015,CRO,Franko Skugor,,R,1998
106043,ARG,Diego Schwartzman,,R,1984
126774,GRE,Stefanos Tsitsipas,M,R,1984
105819,ARG,Guido Andreozzi,M,R,1998
105373,SVK,Martin Klizan,M,L,1984
105023,USA,Sam Querrey,M,R,1984
105051,AUS,Matthew Ebden,M,R,1991
106298,FRA,Lucas Pouille,M,R,1997
126207,USA,Frances Tiafoe,,R,1989
447528,ITA,Camila Giorgi,F,R,1991
201444,TPE,Su Wei Hsieh,F,R,1986
214544,BLR,Aryna Sabalenka,F,R,1990
201490,SUI,Timea Bacsinszky,F,R,1989
201495,SVK,Dominika Cibulkova,F,R,1984
213583,GER,Tatjana Maria,F,R,1998
202469,ESP,Garbine Muguruza,F,R,1993
206420,RUS,Ekaterina Alexandrova,F,R,1993
201620,PUR,Monica Puig,F,R,1995
202458,AUS,Ashleigh Barty,F,R,1996
211533,LVA,Jelena Ostapenko,F,R,1996
201493,GER,Angelique Kerber,F,L,1988
201594,ROU,Simona Halep,F,R,1996
106186,AUS,Jason Kubler,M,R,1995
201527,SUI,Stefanie Voegele,F,R,1994
214956,CZE,Miriam Kolodziejova,F,R,1991
205923,AUS,Abbie Myers,F,R,1987
213666,AUS,Maddison Inglis,F,R,1993
201610,KAZ,Zarina Diyas,F,R,1993
201366,CZE,Barbora Zahlavova Strycova,F,R,1993
215811,AUS,Alexandra Bozovic,F,U,1994
205815,JPN,Eri Hozumi,F,R,1996
201318,USA,Bethanie Mattek Sands,F,R,1993
214461,SLO,Tamara Zidansek,F,R,1994
104745,ESP,Rafael Nadal,M,L,1987
103819,SUI,Roger Federer,M,R,1998
100644,GER,Alexander Zverev,M,R,1990
105227,CRO,Marin Cilic,M,R,1988
106432,CRO,Borna Coric,M,R,1994
105936,SRB,Filip Krajinovic,M,R,1992
104792,FRA,Gael Monfils,M,R,1997
106283,USA,Mitchell Krueger,M,R,1987
105554,GBR,Daniel Evans,M,R,1981
111794,POL,Kamil Majchrzak,M,R,1989
104678,SRB,Viktor Troicki,M,R,1998
144750,RSA,Lloyd Harris,,R,1996
200484,GER,Rudolf Molleker,M,R,1992
105882,ITA,Stefano Travaglia,M,R,1992
104563,ITA,Luca Vanni,M,R,1991
105967,SUI,Henri Laaksonen,M,R,1999
105147,JPN,Tatsuma Ito,M,R,1990
105163,FRA,Gleb Sakharov,M,R,1995
104810,CHN,Zhe Li,M,R,1983
106058,USA,Jack Sock,M,R,1993
106071,AUS,Bernard Tomic,M,R,1988
104386,SRB,Janko Tipsarevic,M,R,1991
105062,KAZ,Mikhail Kukushkin,M,R,1994
104999,GER,Mischa Zverev,M,L,1999
105643,ARG,Federico Delbonis,M,L,1989
103852,ESP,Feliciano Lopez,M,L,1994
201466,EST,Kaia Kanepi,F,R,1991
213550,USA,Sofia Kenin,F,R,1998
206368,RUS,Veronika Kudermetova,F,R,1998
201427,FRA,Alize Cornet,F,R,1990
202418,ESP,Lara Arruabarrena,F,R,1990
200748,USA,Venus Williams,F,R,1980
216262,FRA,Clara Burel,F,R,1988
202446,CAN,Eugenie Bouchard,F,R,1994
201397,CHN,Shuai Peng,F,R,1994
445132,USA,Serena Williams,F,R,1981
212001,RUS,Natalia Vikhlyantseva,F,R,1997
202453,CHN,Saisai Zheng,F,R,1993
203435,SLO,Dalila Jakupovic,F,R,1991
216347,POL,Iga Swiatek,F,R,2001
202536,ROU,Ana Bogdan,F,R,2001
201483,USA,Madison Brengle,F,R,1990
201595,JPN,Misaki Doi,F,L,1990
202663,POL,Magda Linette,F,R,1997
201696,GER,Laura Siegemund,F,R,1988
201458,BLR,Victoria Azarenka,F,R,1988
202492,CHN,Qiang Wang,F,R,1992
211539,FRA,Fiona Ferro,F,R,1992
215370,CAN,Bianca Andreescu,F,R,2000
215992,USA,Whitney Osuigwe,F,R,2000
201621,GER,Mona Barthel,F,R,1990
203533,SVK,Anna Karolina Schmiedlova,F,R,1995
