player_id,country_id,name,sex,hand,year_of_birth
100644,GER,Alexander Zverev,M,R,1990
101305,USA,Jeff Greenwald,M,R,1994
101339,MEX,Agustin Moreno,M,R,1967
102093,USA,Martin Damm,M,L,1998
102706,TPE,Wei Yu Su,M,R,1978
102737,HUN,Gergely Kisgyorgy,M,R,1976
102800,SRB,Nenad Zimonjic,M,R,1994
102863,JPN,Takao Suzuki,M,R,1990
102864,GER,Frank Moser,M,R,1994
102963,SWE,Robert Lindstedt,M,R,1996
102987,BRA,Andre Sa,M,R,1995
103060,MEX,Alejandro Hernandez,M,R,1996
103077,GRE,Konstantinos Economidis,M,R,1977
103105,ESP,Ruben Ramirez Hidalgo,M,R,1996
103163,GER,Tommy Haas,M,R,1988
103175,JPN,Toshihide Matsui,M,R,1978
103285,CZE,Radek Stepanek,M,R,1978
103327,ITA,Alessandro Motti,M,L,1990
103333,CRO,Ivo Karlovic,M,R,1986
103401,CZE,Jan Hernych,M,R,1988
103417,USA,Brian Battistone,M,R,1992
103499,PAK,Aqeel Khan,M,R,1980
103523,IND,Rohan Bopanna,M,R,1996
103529,PAK,Aisam Ul Haq Qureshi,M,R,1980
103531,MON,Thomas Oger,M,U,1980
103543,ESP,David Marrero,M,R,1980
103565,FRA,Stephane Robert,M,R,1986
103574,ROU,Teodor Dacian Craciun,M,R,1993
103582,GER,Michael Berrer,M,L,1987
103590,COL,Michael Quintero,M,R,1980
103594,AUT,Oliver Marach,M,R,1981
103600,KUW,Mohammad Ghareeb,M,R,1985
103607,DOM,Victor Estrella,M,R,1986
103612,KAZ,Alexey Kedryuk,M,R,1989
103643,FIN,Lauri Kiiski,M,R,1980
103655,BUL,Boris Nicola Bakalov,M,L,1989
103656,ESP,Albert Montanes,M,R,1979
103657,SVK,Ivo Klec,M,R,1996
103665,USA,Ryan Haviland,M,U,1980
103690,POL,Marcin Matkowski,M,R,1992
103708,CZE,Jaroslav Pospisil,M,R,1981
103720,AUS,Lleyton Hewitt,M,R,1981
103744,CAN,Rahim Esmail,M,R,1995
103762,USA,John Paul Fruttero,M,R,1994
103780,USA,Eric Butorac,M,L,1987
103781,AUT,Jurgen Melzer,M,L,1993
103782,AUS,Rameez Junaid,M,R,1989
103794,GER,Benjamin Becker,M,R,1995
103806,ROU,Catalin Ionut Gard,M,R,1998
103811,SWE,Andreas Siljestrom,M,R,1996
103812,ROU,Victor Hanescu,M,R,1981
103813,FIN,Jarkko Nieminen,M,L,1981
103819,SUI,Roger Federer,M,R,1998
103822,USA,Scott Lipsky,M,R,1985
103835,ITA,Filippo Volandri,M,R,1987
103843,SUI,Marco Chiudinelli,M,R,1985
103852,ESP,Feliciano Lopez,M,L,1994
103857,RUS,Igor Kunitsyn,M,R,1990
103859,USA,James Cerretani,M,L,1997
103863,RUS,Mikhail Elgin,M,R,1981
103875,IRI,Anoosha Shahgholi,M,U,1980
103876,POL,Tomasz Bednarek,M,R,1992
103893,ITA,Paolo Lorenzi,M,R,1983
103898,FRA,Julien Benneteau,M,R,1981
103902,CZE,Jan Mertl,M,R,1989
103908,FRA,Paul Henri Mathieu,M,R,1982
103914,ARE,Omar Awadhy,M,R,1997
103917,FRA,Nicolas Mahut,M,R,1986
103920,THA,Sanchai Ratiwatana,M,R,1982
103921,THA,Sonchat Ratiwatana,M,R,1982
103924,ESP,Marc Fornell Mestres,M,R,1982
103926,ESP,Daniel Munoz de la Nava,M,L,1993
103938,SVK,Igor Zelenay,M,R,1983
103946,BRA,Bruno Soares,M,R,1988
103970,ESP,David Ferrer,M,R,1991
103977,USA,Nicholas Monroe,M,R,1990
103980,USA,Chris Wettengel,M,R,1998
103990,ESP,Tommy Robredo,M,R,1993
103997,POL,Lukasz Kubot,M,R,1982
104007,BRA,Andre Ghem,M,R,1982
104022,RUS,Mikhail Youzhny,M,R,1986
104043,ESP,Marc Lopez,M,R,1982
104052,ITA,Giulio Di Meo,M,U,1996
104070,USA,Jesse Witten,M,R,1982
104082,JPN,Hiroki Kondo,M,R,1982
104095,FRA,David Guez,M,R,1982
104098,RUS,Dmitry Tursunov,M,R,1987
